critic_loss,generator_loss,wasserstein,real_score,fake_score,gp
-1.1280878,-0.07562201,1.2046804,1.2968631,0.09218264,0.007659263
-1.1087636,-0.17315954,1.1872722,1.274069,0.086796805,0.007850862
-1.0750165,-0.103435926,1.167739,1.2953227,0.12758365,0.009272253
-0.97439075,-0.13291097,1.0360355,1.1466801,0.110644594,0.00616448
-1.0471504,-0.16868255,1.1502547,1.4171703,0.2669155,0.010310432
-0.98469174,-0.046010695,1.0615902,1.2400923,0.17850214,0.0076898485
-1.1675248,-0.1626755,1.2533025,1.345474,0.09217153,0.008577767
-0.9182812,-0.02687177,0.99391407,1.162096,0.16818194,0.007563288
-1.2074065,-0.035079475,1.3374736,1.4650214,0.12754774,0.013006714
-0.99826324,-0.10049048,1.0681018,1.1797583,0.11165654,0.0069838506
-0.9637053,-0.17599306,1.098347,1.2598912,0.16154423,0.013464165
-0.9413304,-0.18818909,0.99395066,1.2219293,0.22797865,0.0052620284
-0.85618323,-0.17965052,0.9521557,1.1029458,0.1507901,0.009597246
-1.0227939,-0.15723222,1.0915163,1.2428067,0.15129048,0.0068722377
-1.2175015,-0.19055429,1.3510929,1.4454331,0.09434021,0.0133591425
-1.0942153,-0.18633915,1.2005407,1.2488669,0.04832627,0.010632534
-1.0896107,-0.011729696,1.1844153,1.3042338,0.119818404,0.009480461
-1.2870003,-0.029272683,1.376252,1.4315132,0.055261172,0.008925179
-1.2067101,-0.08937601,1.2867323,1.3556527,0.068920344,0.008002227
-1.0489378,-0.10091349,1.1468296,1.1986926,0.051862903,0.00978918
-1.1814233,-0.054486953,1.2866399,1.4371643,0.15052435,0.0105216615
-1.0183213,-0.02527684,1.1634942,1.2327659,0.069271654,0.014517301
-0.91734767,-0.056092154,0.9928826,1.2508928,0.25801012,0.0075534973
-0.84594405,-0.10333995,0.9327245,1.0910656,0.15834118,0.008678044
-1.0769393,-0.066253826,1.1424508,1.1717446,0.02929377,0.006551151
-1.0703423,-0.04839229,1.1672947,1.2409695,0.07367485,0.009695238
-1.0617772,-0.09951546,1.1327288,1.2932925,0.1605637,0.0070951562
-1.0205169,-0.09943047,1.1011432,1.1942313,0.093088016,0.0080626365
-1.081923,-0.040772583,1.1814108,1.1624074,-0.01900341,0.009948773
-1.1213741,-0.01969772,1.2190673,1.2828827,0.06381538,0.009769319
-0.92911327,-0.02487839,1.0631692,1.1385311,0.07536188,0.013405595
-1.2030364,-0.12939735,1.2634789,1.2834855,0.020006612,0.0060442425
-1.2008761,-0.07823749,1.2846978,1.3508493,0.066151455,0.008382164
-1.0853761,-0.14804989,1.1600589,1.2571777,0.0971188,0.007468274
-0.9058188,-0.15482374,1.0234289,1.2463033,0.2228744,0.011761008
-1.2498266,-0.15837944,1.3398087,1.4728494,0.13304073,0.008998219
-1.4176551,-0.19358759,1.5139782,1.6311973,0.11721903,0.009632318
-0.9692571,-0.064248614,1.0443792,1.2006629,0.15628363,0.00751221
-1.2323481,-0.1990892,1.3115695,1.3595071,0.047937654,0.007922138
-1.1665157,-0.14740394,1.2309426,1.3436978,0.11275517,0.0064426847
-1.1412252,-0.09964678,1.203837,1.3364818,0.13264473,0.0062611797
-1.3264903,-0.22161977,1.4228783,1.439178,0.016299712,0.009638794
-1.3640076,-0.0848759,1.4596341,1.4454519,-0.014182263,0.009562644
-0.93384904,-0.17904271,1.062217,1.2402999,0.17808294,0.012836795
-1.1048541,-0.048326477,1.176962,1.3000529,0.12309088,0.0072107916
-0.93406683,-0.1898642,1.0810353,1.2212489,0.14021358,0.014696842
-1.1419272,-0.07085451,1.2565331,1.3685646,0.11203152,0.011460586
-1.3749611,-0.13100071,1.4942029,1.6430585,0.14885572,0.011924168
-1.319266,-0.022392772,1.4081117,1.4485285,0.040416796,0.008884572
-1.1148828,-0.2840184,1.1942871,1.3600259,0.16573879,0.007940423
-1.3747126,-0.045243375,1.516034,1.6232439,0.107209906,0.01413214
-1.1691877,-0.26470932,1.2675799,1.3319293,0.0643494,0.009839224
-1.2291844,-0.2065399,1.3173182,1.3947173,0.07739908,0.008813387
-1.0792532,-0.10306688,1.1736027,1.4023118,0.22870915,0.009434947
-1.0461636,-0.22571978,1.1090399,1.3257256,0.21668564,0.0062876334
-0.91889673,-0.29022747,1.040686,1.3198014,0.27911544,0.012178926
-1.157376,-0.027921807,1.2525558,1.4337652,0.18120939,0.009517984
-1.2167386,-0.14825678,1.3095711,1.4247632,0.115192026,0.009283257
